plato_id,nombre_plato,categoria_plato,precio,popularidad,rating,restaurante_id,nombre_restaurante,categoria_rest,latitud,longitud,year,month,day,weekday,es_favorito,lunes_apertura_min,lunes_cierre_min,martes_apertura_min,martes_cierre_min,miércoles_apertura_min,miércoles_cierre_min,jueves_apertura_min,jueves_cierre_min,viernes_apertura_min,viernes_cierre_min,sábado_apertura_min,sábado_cierre_min,domingo_apertura_min,domingo_cierre_min,telefono
complementary_plate_saludable_14,Smoothie Bowl,Saludable,16000,88,4.9,rest_saludable_17,Vida Sana,Saludable,5.6284936,-73.533492,2024,8,3,5,0,420,1380,420,1380,420,1380,420,1380,420,1380,467,1431,424,1427,3357697763
complementary_plate_saludable_15,Salmón a la Plancha,Saludable,15500,78,4.7,rest_saludable_3,Vida Sana,Saludable,5.627273,-73.5173966,2024,7,6,5,0,420,1380,420,1380,420,1380,420,1380,420,1380,422,1352,374,1396,3703937600
complementary_plate_saludable_16,Wrap de Vegetales,Saludable,20000,69,4.8,rest_saludable_6,Healthy Bites,Saludable,5.6273362,-73.5091349,2024,7,24,2,0,600,120,600,120,600,120,600,120,600,120,644,98,637,158,3994361002
complementary_plate_saludable_17,Smoothie Bowl de la Casa,Saludable,10500,85,4.2,rest_saludable_17,Organic Bowl,Saludable,5.6321697,-73.5200442,2024,11,15,4,1,600,120,600,120,600,120,600,120,600,120,567,159,636,178,3815543590
complementary_plate_saludable_18,Ensalada César,Saludable,11000,76,3.8,rest_saludable_8,Vida Sana,Saludable,5.6409903,-73.5395159,2024,6,14,4,0,480,1320,480,1320,480,1320,480,1320,480,1320,451,1318,428,1333,3234642256
complementary_plate_saludable_19,Bowl de Quinoa Clásico,Saludable,9500,77,4.1,rest_saludable_8,Green & Co,Saludable,5.6372778,-73.5396385,2024,8,29,3,0,480,1320,480,1320,480,1320,480,1320,480,1320,510,1370,427,1319,3798790074
complementary_plate_saludable_20,Sushi Saludable,Saludable,11000,80,4.4,rest_saludable_7,Healthy Bites,Saludable,5.6316492,-73.5257188,2024,12,17,1,0,600,120,600,120,600,120,600,120,600,120,567,159,556,163,3379539287
complementary_plate_saludable_21,Ensalada Gourmet,Saludable,11000,70,3.9,rest_saludable_4,Green & Co,Saludable,5.6444741,-73.5029522,2024,3,19,1,0,480,1320,480,1320,480,1320,480,1320,480,1320,504,1345,465,1344,
complementary_plate_saludable_22,Smoothie Bowl,Saludable,13500,78,3.7,rest_saludable_14,Healthy Bites,Saludable,5.6255798,-73.5308529,2025,9,16,1,0,600,120,600,120,600,120,600,120,600,120,633,133,642,103,3192886869
complementary_plate_saludable_23,Plato Vegano del Chef,Saludable,20000,59,4.3,rest_saludable_18,Green & Co,Saludable,5.6316858,-73.5146255,2025,12,17,2,0,420,1380,420,1380,420,1380,420,1380,420,1380,419,1381,471,1359,3551860572
complementary_plate_saludable_24,Plato Vegano,Saludable,9500,72,3.7,rest_saludable_6,Healthy Bites,Saludable,5.6346545,-73.531117,2025,12,8,0,1,480,1320,480,1320,480,1320,480,1320,480,1320,538,1320,441,1342,3542657835
complementary_plate_saludable_25,Salmón a la Plancha,Saludable,12500,82,4.1,rest_saludable_7,Healthy Bites,Saludable,5.6382428,-73.5271332,2025,9,1,0,0,480,1320,480,1320,480,1320,480,1320,480,1320,469,1323,538,1348,3151982472
complementary_plate_saludable_26,Ensalada César Especial,Saludable,15500,84,3.5,rest_saludable_16,Green & Co,Saludable,5.651407,-73.5060783,2024,6,18,1,0,720,1380,720,1380,720,1380,720,1380,720,1380,667,1424,754,1419,
complementary_plate_saludable_27,Bowl de Quinoa,Saludable,8000,88,4.2,rest_saludable_4,Vida Sana,Saludable,5.627987,-73.5108455,2024,12,20,4,0,480,1320,480,1320,480,1320,480,1320,480,1320,485,1300,528,1313,3138819913
complementary_plate_saludable_28,Sushi Saludable,Saludable,13500,78,4.4,rest_saludable_7,Organic Bowl,Saludable,5.6405694,-73.536184,2025,5,15,3,0,480,1320,480,1320,480,1320,480,1320,480,1320,499,1300,473,1374,3247836451
complementary_plate_saludable_29,Plato Orgánico,Saludable,15500,85,5.0,rest_saludable_1,Organic Bowl,Saludable,5.6436966,-73.5228519,2025,11,24,0,1,720,1380,720,1380,720,1380,720,1380,720,1380,693,1400,676,1435,3559687524
complementary_plate_saludable_30,Salmón a la Plancha,Saludable,11000,81,4.6,rest_saludable_8,Organic Bowl,Saludable,5.621858,-73.5388332,2025,11,28,4,0,480,1320,480,1320,480,1320,480,1320,480,1320,429,1358,447,1354,3645398747
complementary_plate_saludable_31,Buddha Bowl,Saludable,16500,95,5.0,rest_saludable_18,Green & Co,Saludable,5.6443018,-73.5207644,2024,3,25,0,0,420,1380,420,1380,420,1380,420,1380,420,1380,380,1406,466,1419,
complementary_plate_saludable_32,Bowl de Quinoa Premium,Saludable,20000,54,4.2,rest_saludable_20,Organic Bowl,Saludable,5.626821,-73.5135026,2025,4,24,3,0,480,1320,480,1320,480,1320,480,1320,480,1320,540,1307,453,1304,3323296667
complementary_plate_saludable_33,Carpaccio de Atún,Saludable,14000,88,4.0,rest_saludable_14,Green & Co,Saludable,5.6226021,-73.5352599,2025,11,4,1,0,420,1380,420,1380,420,1380,420,1380,420,1380,386,1437,441,1383,3335162878
complementary_plate_saludable_34,Plato Orgánico Premium,Saludable,13500,81,4.5,rest_saludable_14,Healthy Bites,Saludable,5.6579554,-73.5284446,2024,7,22,0,0,480,1320,480,1320,480,1320,480,1320,480,1320,420,1332,518,1306,
complementary_plate_saludable_35,Carpaccio de Atún,Saludable,11000,79,4.0,rest_saludable_18,Organic Bowl,Saludable,5.6586253,-73.5240865,2024,6,20,3,0,480,1320,480,1320,480,1320,480,1320,480,1320,429,1378,535,1309,
complementary_plate_saludable_36,Ensalada César Premium,Saludable,15000,95,4.9,rest_saludable_4,Vida Sana,Saludable,5.6523359,-73.5032188,2024,3,26,1,0,600,120,600,120,600,120,600,120,600,120,556,95,579,136,
complementary_plate_saludable_37,Wrap de Vegetales Premium,Saludable,9000,80,4.8,rest_saludable_6,Healthy Bites,Saludable,5.6321846,-73.5002698,2026,1,12,0,0,600,120,600,120,600,120,600,120,600,120,619,109,658,120,3407820283
complementary_plate_saludable_38,Salmón a la Plancha,Saludable,13000,77,4.7,rest_saludable_2,Green & Co,Saludable,5.6239069,-73.5382035,2025,1,11,5,1,600,120,600,120,600,120,600,120,600,120,642,175,650,121,3864023655
complementary_plate_saludable_39,Smoothie Bowl,Saludable,15500,85,3.8,rest_saludable_11,Vida Sana,Saludable,5.6473693,-73.5095597,2024,12,25,2,0,720,1380,720,1380,720,1380,720,1380,720,1380,685,1408,704,1389,
complementary_plate_saludable_40,Carpaccio de Atún,Saludable,19000,87,4.9,rest_saludable_4,Organic Bowl,Saludable,5.6376061,-73.525131,2026,1,9,4,0,480,1320,480,1320,480,1320,480,1320,480,1320,518,1325,464,1372,3163065654
complementary_plate_saludable_41,Sushi Saludable,Saludable,9500,79,4.2,rest_saludable_20,Organic Bowl,Saludable,5.6248815,-73.5243017,2024,11,17,6,0,720,1380,720,1380,720,1380,720,1380,720,1380,734,1383,664,1363,3350291119
complementary_plate_saludable_42,Ensalada César Especial,Saludable,11000,91,4.3,rest_saludable_14,Vida Sana,Saludable,5.6398071,-73.5098294,2025,1,30,3,0,600,120,600,120,600,120,600,120,600,120,655,163,564,122,3509736794
complementary_plate_saludable_43,Buddha Bowl del Chef,Saludable,15500,90,4.2,rest_saludable_14,Organic Bowl,Saludable,5.6213755,-73.5032629,2024,3,26,1,0,420,1380,420,1380,420,1380,420,1380,420,1380,439,1390,444,1365,3116411413
complementary_plate_saludable_44,Smoothie Bowl,Saludable,14000,93,4.9,rest_saludable_6,Healthy Bites,Saludable,5.6563728,-73.5019629,2024,3,15,4,0,600,120,600,120,600,120,600,120,600,120,629,127,610,106,
complementary_plate_saludable_45,Smoothie Bowl,Saludable,10500,79,4.7,rest_saludable_15,Organic Bowl,Saludable,5.6303512,-73.5169151,2024,10,18,4,1,600,120,600,120,600,120,600,120,600,120,610,90,578,126,3225283192
complementary_plate_saludable_46,Plato Orgánico,Saludable,14000,86,4.3,rest_saludable_8,Organic Bowl,Saludable,5.6465009,-73.5257152,2025,11,3,0,0,720,1380,720,1380,720,1380,720,1380,720,1380,725,1410,761,1371,
complementary_plate_saludable_47,Ensalada César,Saludable,16000,74,4.2,rest_saludable_3,Healthy Bites,Saludable,5.6324684,-73.508498,2024,5,22,2,1,720,1380,720,1380,720,1380,720,1380,720,1380,763,1375,678,1353,3721236075
complementary_plate_saludable_48,Buddha Bowl,Saludable,10500,69,3.9,rest_saludable_8,Healthy Bites,Saludable,5.6408027,-73.5299599,2024,12,24,1,0,600,120,600,120,600,120,600,120,600,120,653,170,613,114,3797648780
complementary_plate_saludable_49,Smoothie Bowl,Saludable,17500,74,4.2,rest_saludable_18,Healthy Bites,Saludable,5.6418684,-73.517437,2025,12,17,2,0,480,1320,480,1320,480,1320,480,1320,480,1320,534,1303,519,1344,3101901740
complementary_plate_saludable_50,Plato Orgánico,Saludable,14000,67,3.6,rest_saludable_20,Organic Bowl,Saludable,5.6273942,-73.5256569,2024,11,10,6,1,480,1320,480,1320,480,1320,480,1320,480,1320,478,1307,522,1349,3608964873
complementary_plate_saludable_51,Plato Vegano,Saludable,16000,74,3.8,rest_saludable_9,Vida Sana,Saludable,5.6587834,-73.5137348,2024,4,25,3,1,600,120,600,120,600,120,600,120,600,120,654,110,635,150,
complementary_plate_saludable_52,Smoothie Bowl,Saludable,15500,85,4.3,rest_saludable_3,Organic Bowl,Saludable,5.6510053,-73.530384,2024,8,2,4,0,720,1380,720,1380,720,1380,720,1380,720,1380,695,1406,669,1386,
complementary_plate_saludable_53,Buddha Bowl,Saludable,10000,81,4.4,rest_saludable_11,Healthy Bites,Saludable,5.65758,-73.5323363,2024,12,16,0,1,720,1380,720,1380,720,1380,720,1380,720,1380,689,1399,748,1369,
complementary_plate_saludable_54,Ensalada Gourmet del Chef,Saludable,12500,77,4.6,rest_saludable_13,Green & Co,Saludable,5.6557931,-73.5032704,2024,6,27,3,1,600,120,600,120,600,120,600,120,600,120,547,116,646,143,
complementary_plate_saludable_55,Ensalada Gourmet,Saludable,14000,85,3.9,rest_saludable_8,Vida Sana,Saludable,5.643916,-73.5359279,2024,9,25,2,0,480,1320,480,1320,480,1320,480,1320,480,1320,540,1335,458,1339,3828130202
complementary_plate_saludable_56,Plato Orgánico,Saludable,10500,70,4.0,rest_saludable_15,Healthy Bites,Saludable,5.656875,-73.5197617,2025,8,21,3,0,600,120,600,120,600,120,600,120,600,120,602,93,589,133,
complementary_plate_saludable_57,Plato Orgánico,Saludable,14000,80,4.5,rest_saludable_15,Healthy Bites,Saludable,5.6235397,-73.5311659,2025,9,21,6,0,480,1320,480,1320,480,1320,480,1320,480,1320,536,1340,495,1362,3292892575
complementary_plate_saludable_58,Plato Vegano,Saludable,20000,74,4.5,rest_saludable_14,Healthy Bites,Saludable,5.6278393,-73.5384428,2025,4,28,0,0,480,1320,480,1320,480,1320,480,1320,480,1320,453,1338,461,1317,3154633048
complementary_plate_saludable_59,Ensalada César Clásico,Saludable,9500,66,3.2,rest_saludable_3,Vida Sana,Saludable,5.6218091,-73.5385592,2024,4,12,4,0,480,1320,480,1320,480,1320,480,1320,480,1320,480,1292,515,1359,3147278684
complementary_plate_saludable_60,Sushi Saludable,Saludable,20000,49,3.9,rest_saludable_4,Vida Sana,Saludable,5.6330132,-73.5329911,2024,10,10,3,0,480,1320,480,1320,480,1320,480,1320,480,1320,451,1315,527,1292,3622800880
complementary_plate_saludable_61,Wrap de Vegetales,Saludable,15500,79,3.4,rest_saludable_10,Green & Co,Saludable,5.6355471,-73.5053292,2025,8,23,5,0,600,120,600,120,600,120,600,120,600,120,629,122,638,137,3681726018
complementary_plate_saludable_62,Ensalada Gourmet,Saludable,15000,84,5.0,rest_saludable_19,Vida Sana,Saludable,5.630854,-73.5287009,2025,11,21,4,0,480,1320,480,1320,480,1320,480,1320,480,1320,538,1329,493,1376,3711853267
complementary_plate_saludable_63,Sushi Saludable del Chef,Saludable,11000,70,3.6,rest_saludable_18,Green & Co,Saludable,5.6531495,-73.5019816,2025,2,16,6,1,480,1320,480,1320,480,1320,480,1320,480,1320,509,1328,528,1377,
complementary_plate_saludable_64,Ensalada César de la Casa,Saludable,17500,78,4.5,rest_saludable_12,Green & Co,Saludable,5.6342701,-73.5167351,2024,11,20,2,1,420,1380,420,1380,420,1380,420,1380,420,1380,368,1414,442,1393,3118317940
complementary_plate_saludable_65,Plato Orgánico,Saludable,20000,49,3.5,rest_saludable_14,Healthy Bites,Saludable,5.6312374,-73.5225354,2024,10,18,4,0,720,1380,720,1380,720,1380,720,1380,720,1380,715,1372,753,1416,3240093021
complementary_plate_saludable_66,Salmón a la Plancha Premium,Saludable,20000,64,4.2,rest_saludable_20,Healthy Bites,Saludable,5.6417078,-73.5167964,2024,7,3,2,1,420,1380,420,1380,420,1380,420,1380,420,1380,469,1381,466,1361,3823386018
complementary_plate_saludable_67,Wrap de Vegetales,Saludable,13000,91,4.2,rest_saludable_11,Organic Bowl,Saludable,5.625637,-73.5193321,2025,5,18,6,0,420,1380,420,1380,420,1380,420,1380,420,1380,363,1413,468,1391,3347832162
complementary_plate_saludable_68,Bowl de Quinoa,Saludable,11500,98,5.0,rest_saludable_18,Healthy Bites,Saludable,5.6520879,-73.5096489,2024,9,24,1,0,420,1380,420,1380,420,1380,420,1380,420,1380,431,1351,426,1374,
complementary_plate_saludable_69,Bowl de Quinoa,Saludable,16500,87,4.7,rest_saludable_8,Healthy Bites,Saludable,5.622982,-73.5287002,2024,2,29,3,0,600,120,600,120,600,120,600,120,600,120,622,152,597,92,3934792806
complementary_plate_saludable_70,Ensalada Gourmet del Chef,Saludable,15000,85,3.9,rest_saludable_15,Organic Bowl,Saludable,5.6594755,-73.525878,2025,2,11,1,0,420,1380,420,1380,420,1380,420,1380,420,1380,420,1420,427,1394,
complementary_plate_saludable_71,Bowl Poké,Saludable,10000,96,4.8,rest_saludable_7,Vida Sana,Saludable,5.6508898,-73.5042362,2025,7,25,4,1,420,1380,420,1380,420,1380,420,1380,420,1380,392,1379,375,1374,
complementary_plate_saludable_72,Sushi Saludable,Saludable,18500,82,4.9,rest_saludable_10,Green & Co,Saludable,5.6279486,-73.5021417,2025,7,23,2,0,420,1380,420,1380,420,1380,420,1380,420,1380,452,1425,457,1417,3560081869
complementary_plate_saludable_73,Carpaccio de Atún,Saludable,8000,81,4.9,rest_saludable_18,Green & Co,Saludable,5.6202209,-73.5042977,2025,12,13,5,0,420,1380,420,1380,420,1380,420,1380,420,1380,382,1388,361,1440,3624155920
complementary_plate_saludable_74,Sushi Saludable,Saludable,20000,53,3.9,rest_saludable_11,Healthy Bites,Saludable,5.6526185,-73.5232221,2024,11,12,1,0,720,1380,720,1380,720,1380,720,1380,720,1380,741,1412,673,1351,
complementary_plate_saludable_75,Ensalada Gourmet,Saludable,11000,92,4.6,rest_saludable_5,Green & Co,Saludable,5.6482743,-73.5087854,2025,9,4,3,0,480,1320,480,1320,480,1320,480,1320,480,1320,452,1351,434,1298,
complementary_plate_saludable_76,Sushi Saludable,Saludable,9000,86,3.8,rest_saludable_13,Vida Sana,Saludable,5.6491603,-73.5209466,2024,8,20,1,1,480,1320,480,1320,480,1320,480,1320,480,1320,451,1305,491,1343,
complementary_plate_saludable_77,Sushi Saludable,Saludable,15500,90,4.1,rest_saludable_7,Green & Co,Saludable,5.6508508,-73.5200984,2025,7,9,2,0,600,120,600,120,600,120,600,120,600,120,578,165,594,129,
complementary_plate_saludable_78,Bowl de Quinoa,Saludable,8000,89,4.0,rest_saludable_20,Healthy Bites,Saludable,5.6229618,-73.5318128,2024,11,2,5,1,480,1320,480,1320,480,1320,480,1320,480,1320,440,1320,442,1360,3417145780
complementary_plate_saludable_79,Salmón a la Plancha de la Casa,Saludable,17000,87,4.5,rest_saludable_8,Green & Co,Saludable,5.6343386,-73.5163548,2024,3,5,1,0,420,1380,420,1380,420,1380,420,1380,420,1380,364,1379,396,1440,3566340954
complementary_plate_saludable_80,Plato Orgánico,Saludable,15500,90,5.0,rest_saludable_3,Organic Bowl,Saludable,5.6246348,-73.5325546,2025,9,14,6,0,720,1380,720,1380,720,1380,720,1380,720,1380,714,1364,729,1378,3811263313
complementary_plate_saludable_81,Salmón a la Plancha,Saludable,17000,84,4.9,rest_saludable_10,Healthy Bites,Saludable,5.6545241,-73.5267374,2024,3,3,6,1,720,1380,720,1380,720,1380,720,1380,720,1380,761,1389,736,1422,
complementary_plate_saludable_82,Bowl de Quinoa,Saludable,12000,77,4.3,rest_saludable_20,Healthy Bites,Saludable,5.6449319,-73.5057988,2025,3,13,3,0,420,1380,420,1380,420,1380,420,1380,420,1380,424,1419,423,1406,
complementary_plate_saludable_83,Sushi Saludable Clásico,Saludable,15500,83,4.1,rest_saludable_16,Green & Co,Saludable,5.6332359,-73.531717,2025,8,11,0,1,480,1320,480,1320,480,1320,480,1320,480,1320,431,1319,506,1363,3753850368
complementary_plate_saludable_84,Plato Vegano de la Casa,Saludable,8000,98,5.0,rest_saludable_11,Organic Bowl,Saludable,5.6225423,-73.5371537,2024,12,15,6,0,420,1380,420,1380,420,1380,420,1380,420,1380,383,1424,415,1431,3922885433
complementary_plate_saludable_85,Buddha Bowl,Saludable,14000,90,4.1,rest_saludable_2,Healthy Bites,Saludable,5.6324393,-73.5372397,2024,7,23,1,1,480,1320,480,1320,480,1320,480,1320,480,1320,529,1310,462,1342,3646988185
complementary_plate_saludable_86,Ensalada Gourmet Especial,Saludable,20000,68,4.6,rest_saludable_2,Healthy Bites,Saludable,5.6330073,-73.5023686,2024,12,10,1,0,480,1320,480,1320,480,1320,480,1320,480,1320,460,1322,461,1304,3822581356
complementary_plate_saludable_87,Ensalada César,Saludable,11000,72,4.2,rest_saludable_15,Vida Sana,Saludable,5.6491842,-73.5197232,2025,4,18,4,1,420,1380,420,1380,420,1380,420,1380,420,1380,439,1413,440,1406,
complementary_plate_saludable_88,Buddha Bowl,Saludable,15000,76,4.2,rest_saludable_14,Green & Co,Saludable,5.6455023,-73.5236235,2024,7,21,6,0,480,1320,480,1320,480,1320,480,1320,480,1320,423,1370,497,1320,
complementary_plate_saludable_89,Plato Orgánico de la Casa,Saludable,11500,67,3.7,rest_saludable_9,Organic Bowl,Saludable,5.6554885,-73.5075649,2024,9,3,1,1,720,1380,720,1380,720,1380,720,1380,720,1380,767,1364,719,1365,
complementary_plate_saludable_90,Wrap de Vegetales,Saludable,13500,84,4.7,rest_saludable_9,Vida Sana,Saludable,5.6388886,-73.506567,2025,11,27,3,1,600,120,600,120,600,120,600,120,600,120,600,121,598,160,3485757498
complementary_plate_saludable_91,Salmón a la Plancha del Chef,Saludable,9500,73,3.9,rest_saludable_15,Healthy Bites,Saludable,5.6247838,-73.5267124,2025,9,7,6,1,420,1380,420,1380,420,1380,420,1380,420,1380,479,1414,394,1350,3107611432
complementary_plate_saludable_92,Ensalada Gourmet,Saludable,15500,80,5.0,rest_saludable_8,Organic Bowl,Saludable,5.6485298,-73.5122553,2025,7,28,0,1,420,1380,420,1380,420,1380,420,1380,420,1380,402,1420,457,1419,
complementary_plate_saludable_93,Buddha Bowl,Saludable,11500,72,4.0,rest_saludable_5,Healthy Bites,Saludable,5.6504314,-73.5091551,2025,1,7,1,1,720,1380,720,1380,720,1380,720,1380,720,1380,769,1402,665,1390,
complementary_plate_saludable_94,Bowl de Quinoa de la Casa,Saludable,17500,80,4.9,rest_saludable_15,Green & Co,Saludable,5.6424511,-73.513814,2024,8,17,5,0,480,1320,480,1320,480,1320,480,1320,480,1320,436,1354,495,1332,3986138048
complementary_plate_saludable_95,Plato Vegano Clásico,Saludable,9500,73,4.3,rest_saludable_13,Organic Bowl,Saludable,5.6508387,-73.5339362,2024,5,9,3,0,720,1380,720,1380,720,1380,720,1380,720,1380,712,1433,679,1359,
complementary_plate_saludable_96,Ensalada Gourmet de la Casa,Saludable,11500,95,4.9,rest_saludable_3,Green & Co,Saludable,5.6397518,-73.5049647,2024,5,15,2,0,420,1380,420,1380,420,1380,420,1380,420,1380,469,1436,469,1418,3736419349
complementary_plate_saludable_97,Plato Orgánico Especial,Saludable,8500,84,3.9,rest_saludable_10,Healthy Bites,Saludable,5.6409093,-73.5184362,2025,8,20,2,0,420,1380,420,1380,420,1380,420,1380,420,1380,389,1361,415,1362,3601524833
complementary_plate_saludable_98,Bowl Poké,Saludable,20000,55,4.3,rest_saludable_14,Vida Sana,Saludable,5.6371016,-73.5287011,2024,8,12,0,0,480,1320,480,1320,480,1320,480,1320,480,1320,461,1297,457,1335,3871161079
complementary_plate_saludable_99,Sushi Saludable,Saludable,12500,77,3.4,rest_saludable_5,Healthy Bites,Saludable,5.6210168,-73.5229909,2024,6,19,2,0,720,1380,720,1380,720,1380,720,1380,720,1380,682,1360,738,1398,3239495148
complementary_plate_saludable_100,Plato Orgánico,Saludable,15500,78,4.1,rest_saludable_18,Healthy Bites,Saludable,5.6243157,-73.5384972,2025,4,18,4,0,600,120,600,120,600,120,600,120,600,120,621,122,598,122,3960965596
complementary_plate_saludable_1,Plato Orgánico Clásico,Saludable,38500,49,3.8,rest_saludable_7,Healthy Bites,Saludable,5.6212572,-73.5348853,2025,4,3,3,1,480,1320,480,1320,480,1320,480,1320,480,1320,476,1334,495,1328,3879023939
complementary_plate_saludable_2,Bowl Poké,Saludable,46500,60,3.9,rest_saludable_13,Organic Bowl,Saludable,5.6454564,-73.5093781,2026,1,15,3,0,600,120,600,120,600,120,600,120,600,120,553,120,588,163,
complementary_plate_saludable_3,Sushi Saludable Clásico,Saludable,26000,65,4.1,rest_saludable_12,Vida Sana,Saludable,5.6325742,-73.5399995,2024,5,26,6,0,480,1320,480,1320,480,1320,480,1320,480,1320,492,1377,519,1296,3901501834
complementary_plate_saludable_4,Plato Orgánico Especial,Saludable,49500,61,4.5,rest_saludable_15,Green & Co,Saludable,5.6403428,-73.5233374,2025,3,27,3,0,720,1380,720,1380,720,1380,720,1380,720,1380,739,1382,746,1434,3371977271
complementary_plate_saludable_5,Bowl Poké Premium,Saludable,48000,57,3.3,rest_saludable_18,Vida Sana,Saludable,5.6563027,-73.5190996,2025,9,24,2,0,420,1380,420,1380,420,1380,420,1380,420,1380,453,1366,371,1387,
complementary_plate_saludable_6,Salmón a la Plancha Clásico,Saludable,37000,55,3.1,rest_saludable_3,Green & Co,Saludable,5.6299717,-73.5378146,2024,10,15,1,0,420,1380,420,1380,420,1380,420,1380,420,1380,466,1371,392,1411,3862364564
complementary_plate_saludable_7,Ensalada Gourmet del Chef,Saludable,21000,56,4.2,rest_saludable_13,Organic Bowl,Saludable,5.6364153,-73.5010769,2025,11,6,3,0,720,1380,720,1380,720,1380,720,1380,720,1380,770,1436,752,1436,3171719010
complementary_plate_saludable_8,Plato Orgánico Clásico,Saludable,49000,60,3.5,rest_saludable_12,Healthy Bites,Saludable,5.650222,-73.530955,2024,4,24,2,0,420,1380,420,1380,420,1380,420,1380,420,1380,428,1365,418,1397,
complementary_plate_saludable_9,Bowl Poké Premium,Saludable,50000,41,3.6,rest_saludable_15,Green & Co,Saludable,5.6291519,-73.5278321,2024,4,27,5,0,720,1380,720,1380,720,1380,720,1380,720,1380,720,1353,739,1421,3137693721
complementary_plate_saludable_10,Salmón a la Plancha Especial,Saludable,30000,49,3.7,rest_saludable_18,Green & Co,Saludable,5.6230792,-73.5278423,2025,6,11,2,0,600,120,600,120,600,120,600,120,600,120,554,107,545,94,3485085298
complementary_plate_saludable_11,Carpaccio de Atún,Saludable,36000,72,4.4,rest_saludable_4,Vida Sana,Saludable,5.6315901,-73.5307833,2024,12,9,0,1,600,120,600,120,600,120,600,120,600,120,598,137,625,179,3239569554
complementary_plate_saludable_12,Bowl Poké,Saludable,27500,54,3.9,rest_saludable_12,Healthy Bites,Saludable,5.6264489,-73.539941,2025,6,10,1,0,600,120,600,120,600,120,600,120,600,120,660,125,544,178,3717677932
complementary_plate_saludable_13,Ensalada Gourmet,Saludable,29500,59,3.6,rest_saludable_3,Green & Co,Saludable,5.6571879,-73.5108262,2024,10,29,1,0,420,1380,420,1380,420,1380,420,1380,420,1380,429,1432,405,1357,
